"species","decimalLongitude","decimalLatitude"
"Anilios australis",119.7675,-32.716111
"Anilios australis",117.533333,-33.566667
"Anilios australis",115.725,-34.431944
"Anilios australis",116.03,-33.12
"Anilios australis",118.383333,-32.066667
"Anilios australis",116.066667,-32.6
"Anilios australis",116.05,-31.95
"Anilios australis",120.302222,-33.681944
"Anilios australis",115.45,-30.4
"Anilios australis",116.05,-33.85
"Anilios australis",117.425833,-33.231944
"Anilios australis",116.05,-31.933333
"Anilios australis",114.57211,-28.55185
"Anilios australis",115.7,-33.55
"Anilios australis",119.333333,-33.983333
"Anilios australis",115.666667,-34.166667
"Anilios australis",115.533333,-34.166667
"Anilios australis",115.3,-30.966667
"Anilios australis",117.666667,-34.633333
"Anilios australis",121.124167,-30.378889
"Anilios australis",119.233333,-32.733333
"Anilios australis",115.771111,-31.953889
"Anilios australis",115.716667,-32.533333
"Anilios australis",113.735278,-28.433056
"Anilios australis",117.4,-32.016667
"Anilios australis",116.066667,-31.716667
"Anilios australis",116.003333,-32.231111
"Anilios australis",119.233333,-32.733333
"Anilios australis",115.9,-34
"Anilios australis",116.166667,-31.983333
"Anilios australis",114.163333,-27.921944
"Anilios australis",119.233333,-32.733333
"Anilios australis",113.500556,-26.526944
"Anilios australis",120.302222,-33.681944
"Anilios australis",116.321667,-31.143333
"Anilios australis",116.016944,-31.919722
"Anilios australis",120.302222,-33.681944
"Anilios australis",117.566667,-33.566667
"Anilios australis",115.883333,-32.033333
"Anilios australis",119.833333,-32.366667
"Anilios australis",117.333333,-32.55
"Anilios australis",117.642222,-33.379167
"Anilios australis",115.203056,-30.750833
"Anilios australis",116.066667,-31.766667
"Anilios australis",119.757222,-33.259444
"Anilios australis",116.45,-34.333333
"Anilios australis",115.35,-33.65
"Anilios australis",117.516667,-31.666667
"Anilios australis",115.8,-31.75
"Anilios australis",115.769444,-31.942222
"Anilios australis",115.45,-30.716667
"Anilios australis",115.45,-30.4
"Anilios australis",116.083333,-32.033333
"Anilios australis",116.066667,-31.983333
"Anilios australis",116.035556,-32.191111
"Anilios australis",116.066667,-31.966667
"Anilios australis",118.35,-32.366667
"Anilios australis",117.533333,-33.05
"Anilios australis",116.23,-32.657222
"Anilios australis",116.5,-33.116667
"Anilios australis",116.016667,-31.833333
"Anilios australis",121.766667,-32.2
"Anilios australis",116.316667,-31.85
"Anilios australis",115.8,-31.75
"Anilios australis",118.916667,-34.166667
"Anilios australis",117.366667,-32.75
"Anilios australis",121.41,-32.82
"Anilios australis",115.977778,-31.923333
"Anilios australis",115.85,-31.95
"Anilios australis",121.466667,-30.833333
"Anilios australis",115.433,-33.633
"Anilios australis",117.1,-31.016667
"Anilios australis",121.03,-33.214444
"Anilios australis",119.339722,-32.693056
"Anilios australis",116.110278,-32.704167
"Anilios australis",117.366667,-34.116667
"Anilios australis",116.166667,-31.883333
"Anilios australis",116.6275,-33.605556
"Anilios australis",120.358611,-33.594444
"Anilios australis",115.774167,-31.941667
"Anilios australis",116.983333,-34.75
"Anilios australis",120.193333,-33.68
"Anilios australis",116.883333,-34.5
"Anilios australis",117.749167,-31.427222
"Anilios australis",115.5,-32.02
"Anilios australis",121.783333,-32.2
"Anilios australis",120.066667,-33.9
"Anilios australis",115.333333,-31.05
"Anilios australis",116.216667,-30.866667
"Anilios australis",115.15,-34.333333
"Anilios australis",121.8,-30.75
"Anilios australis",121.116667,-30.45
"Anilios australis",115.683333,-34.416667
"Anilios australis",115.833333,-31.966667
"Anilios australis",116.066667,-32.116667
"Anilios australis",118,-34.416667
"Anilios australis",115.333333,-33.65
"Anilios australis",115.966667,-32.516667
"Anilios australis",115.716667,-32.283333
"Anilios australis",115.966667,-33.316667
"Anilios australis",115.933333,-33.366667
"Anilios australis",116.3,-31.8
"Anilios australis",116.05,-31.95
"Anilios australis",116.066667,-31.916667
"Anilios australis",123.458333,-33.458333
"Anilios australis",115.45,-30.4
"Anilios australis",113.1,-25.15
"Anilios australis",115.7,-32.683333
"Anilios australis",119.7,-30.3
"Anilios australis",116.033333,-32.183333
"Anilios australis",115.966667,-32.033333
"Anilios australis",116.166667,-31.95
"Anilios australis",117.633,-34.033
"Anilios australis",119.033333,-32.816667
"Anilios australis",116.066667,-31.983333
"Anilios australis",121.9,-33.716667
"Anilios australis",115.5,-32.02
"Anilios australis",120.05,-33.583333
"Anilios australis",119.333333,-33.5
"Anilios australis",115.066667,-30.166667
"Anilios australis",116.15,-33.366667
"Anilios australis",122.995833,-33.8625
"Anilios australis",122.716667,-33.2
"Anilios australis",114.193056,-27.990556
"Anilios australis",121.124167,-30.378889
"Anilios australis",118,-34.866667
"Anilios australis",117.65,-34.05
"Anilios australis",115.445278,-33.616667
"Anilios australis",116.066667,-31.916667
"Anilios australis",115.75,-31.85
"Anilios australis",121.466667,-30.833333
"Anilios australis",115.783333,-31.9
"Anilios australis",120.5,-32.25
"Anilios australis",115.5,-32
"Anilios australis",116,-31.75
"Anilios australis",116.886944,-33.488333
"Anilios australis",116.066667,-31.983333
"Anilios australis",116.716667,-34.35
"Anilios australis",115.766667,-32.583333
"Anilios australis",115.766667,-32.583333
"Anilios australis",119.033333,-32.816667
"Anilios australis",116.05,-31.95
"Anilios australis",115.716667,-31.65
"Anilios australis",118.7,-34.266667
"Anilios australis",120.116667,-33.95
"Anilios australis",116.166667,-31.883333
"Anilios australis",115.605278,-33.420833
"Anilios australis",117.55,-34.3
"Anilios australis",123.866667,-33.616667
"Anilios australis",116.066667,-32.6
"Anilios australis",117.583333,-31.533333
"Anilios australis",116.983333,-34.75
"Anilios australis",120.1,-33.55
"Anilios australis",115.8,-32.016667
"Anilios australis",118.303611,-32.941944
"Anilios australis",121.37,-33.72
"Anilios australis",116.233333,-32.333333
"Anilios australis",117.183333,-32.933333
"Anilios australis",114.983333,-33.85
"Anilios australis",116.208056,-29.478333
"Anilios australis",116.066667,-31.916667
"Anilios australis",121.118333,-30.351944
"Anilios australis",115.333333,-33.65
"Anilios australis",116.2,-31.783333
"Anilios australis",116.346944,-32.986389
"Anilios australis",115.758333,-31.951944
"Anilios australis",118.883333,-33.5
"Anilios australis",116.166667,-31.883333
"Anilios australis",115.766667,-33.983333
"Anilios australis",116.040278,-31.99
"Anilios australis",116.050833,-31.873611
"Anilios australis",123.866667,-33.616667
"Anilios australis",119.383333,-32.633333
"Anilios australis",115.066667,-33.616667
"Anilios australis",120.5,-32.25
"Anilios australis",115.766667,-31.933333
"Anilios australis",121.741667,-32.160278
"Anilios australis",119.808056,-32.728611
"Anilios australis",115.783333,-31.933333
"Anilios australis",116.216667,-30.7
"Anilios australis",116.433333,-31.416667
"Anilios australis",113.283333,-26.333333
"Anilios australis",117.099722,-32.611111
"Anilios australis",117.366667,-32.75
"Anilios australis",116.016667,-31.983333
