"","time_mya","t_mean","t_median","t_sd","t_min","t_max","p_mean","p_median","p_sd","prec_mean","prec_median","prec_sd","area_arid","area_non_arid","prop_arid","n_grid_cell"
"46",7.5,25.9142047674847,26.0646953582764,4.31984124140345,15.5415744781494,37.0448265075684,0.171473109898675,0,0.377068828700345,2.40534837770311,1.93796682357788,1.67419411839159,220,1063,0.171473109898675,1283
"47",7.667,25.850930646688,25.9945316314697,4.31138532142224,15.5790042877197,37.0285682678223,0.173271173271173,0,0.378628662880927,2.38718275074698,1.87076675891876,1.72704801480411,223,1064,0.173271173271173,1287
"48",7.833,25.7010183073893,25.8155908584595,4.28321694933892,15.2440958023071,36.2469749450684,0.18026418026418,0,0.384556772781339,2.3319494379293,1.80917429924011,1.71675927799637,232,1055,0.18026418026418,1287
"49",8,25.5930305467035,25.7562770843506,4.32481785430113,15.1061201095581,36.2150573730469,0.190108191653787,0,0.392538080332781,2.30966511415366,1.73468828201294,1.75231230511744,246,1048,0.190108191653787,1294
"50",8.167,25.5648444102054,25.7348909378052,4.32315025771652,15.1298828125,36.1831359863281,0.190255220417633,0,0.392654315642027,2.30736116371224,1.73475879430771,1.74817447605016,246,1047,0.190255220417633,1293
"51",8.333,25.5173273873803,25.7128448486328,4.30025528933332,15.1536464691162,36.1512184143066,0.190402476780186,0,0.392770641334218,2.29543192004211,1.73468828201294,1.72886647628539,246,1046,0.190402476780186,1292
"52",8.5,25.4445932352431,25.65354347229,4.28652061735363,15.1774091720581,36.1192970275879,0.189628482972136,0,0.392158836194523,2.28741277839946,1.73468828201294,1.70730715026828,245,1047,0.189628482972136,1292
"53",8.667,25.3728552314942,25.5745449066162,4.28228146163443,15.2011728286743,37.011402130127,0.190993788819876,0,0.393236849560937,2.26321821454189,1.73143041133881,1.66418564216033,246,1042,0.190993788819876,1288
"54",8.833,25.2983156050276,25.4912958145142,4.26916814995387,15.2249355316162,37.0074996948242,0.190845616757176,0,0.393120161522856,2.25235848613005,1.73184883594513,1.64056847869366,246,1043,0.190845616757176,1289
"55",9,25.2045479586525,25.3597278594971,4.27971816103765,15.2486982345581,37.0035972595215,0.190108191653787,0,0.392538080332781,2.24673532787031,1.73293220996857,1.63241074991895,246,1048,0.190108191653787,1294
"56",9.167,25.0882447732999,25.2091732025146,4.26339811743062,15.2724618911743,36.9996910095215,0.190880989180835,0,0.393147408119015,2.22592850770642,1.72970521450043,1.59716566952092,247,1047,0.190880989180835,1294
"57",9.333,25.0135072930886,25.1389465332031,4.24993846147706,15.2962245941162,36.9957885742188,0.190880989180835,0,0.393147408119015,2.21039481257497,1.72966575622559,1.56776098065952,247,1047,0.190880989180835,1294
"58",9.5,24.9452804464417,25.1298179626465,4.24104792801506,15.3180847167969,36.991886138916,0.190292758089368,0,0.392683361795008,2.20939074015692,1.72970521450043,1.56514358458594,247,1051,0.190292758089368,1298
"59",9.667,24.9144472257156,25.1084747314453,4.2275288539902,15.3253402709961,36.987979888916,0.190586419753086,0,0.392915205291199,2.2063373597678,1.72966575622559,1.56533804167842,247,1049,0.190586419753086,1296
