"genus","species","scientific_name_intepreted","catalogue_number","institution","decimal_latitude_wgs84","decimal_longitude_wgs84","year","month","day","record_id"
"Anilios","Anilios leucoproctus","Anilios leucoproctus","R.42661","Australian Museum",-9.933,144.033,NA,NA,NA,"1d914033-a945-4828-9bb2-c63612d47812"
"Anilios","Anilios leucoproctus","Anilios leucoproctus","R.55678","Australian Museum",-10.183,142.266,1928,NA,NA,"2da75f48-4f7d-40a1-a2d2-6270f1a2f51e"
"Anilios","Anilios leucoproctus","Anilios leucoproctus","R.59060","Australian Museum",-10.116,142.116,1976,12,19,"3d2a9ad8-1f1b-463c-9edf-3316d4b273d1"
"Anilios","Anilios leucoproctus","Anilios leucoproctus","J87535","Queensland Museum",-9.947222,142.195833,2009,5,29,"4b93aea4-3b7a-4d38-827d-f20e5886db89"
"Anilios","Anilios leucoproctus","Anilios leucoproctus","J379","Queensland Museum",-9.583333,143.766667,NA,NA,NA,"4f8389f2-1ff5-4202-bd1f-75d6b58c1fde"
"Anilios","Anilios leucoproctus","Anilios leucoproctus","R.7956","Australian Museum",-10.183,142.266,NA,NA,NA,"a622e57b-e556-404c-b520-22dde7d2f961"
"Anilios","Anilios leucoproctus","Anilios leucoproctus","R.42660","Australian Museum",-9.933,144.033,NA,NA,NA,"ba877364-1c5f-4fac-a02f-534795e22423"
"Anilios","Anilios leucoproctus","Anilios leucoproctus","J87172","Queensland Museum",-10.6819698458937,142.184203912695,2008,1,6,"c9e603eb-e750-48d2-8641-d3551e917275"
"Anilios","Anilios leucoproctus","Anilios leucoproctus","R.97853","Australian Museum",-12.75,143.216,1980,7,8,"e664c8f0-99d4-4337-9ebc-f190a972c11f"
"Anilios","Anilios leucoproctus","Anilios leucoproctus","R.4537","Australian Museum",-10.75,142.583,NA,NA,NA,"e76646bf-0a29-481e-a7ca-e7c928e82136"
"Anilios","Anilios ligatus","Anilios ligatus","SJJSI0209384","",-29.2315350250611,150.756308,2011,3,22,"0056d8e9-1a12-4d03-a7d4-fd5b3912f421"
"Anilios","Anilios ligatus","Anilios ligatus","R27281","Museum and Art Gallery of the Northern Territory",-16.817,131.217,2003,5,5,"005bc592-0244-45e0-8acf-abfb1c8f70f7"
"Anilios","Anilios ligatus","Anilios ligatus","R.174484","Australian Museum",-30.77838,148.95692,2010,1,11,"00fbe187-6878-42e9-8746-187cc62e8cfe"
"Anilios","Anilios ligatus","Anilios ligatus","2176574","",-16.23064,137.6998,2016,7,28,"01f507f1-9132-4b06-9ac8-34bca6a9e06b"
"Anilios","Anilios ligatus","Anilios ligatus","J21019","Queensland Museum",-27.6,152.916667,1971,3,4,"039d9d9b-e4d8-43a9-86df-fc98c2459557"
