genus,species,scientific_name_intepreted,catalogue_number,omit,institution,decimal_latitude_wgs84,decimal_longitude_wgs84,year,month,day,record_id,omit
Anilios,Anilios ammodytes,Anilios ammodytes,R166894,,Western Australian Museum,-22.984722,119.623611,NA,NA,NA,252ccceb-ebe2-4dff-bd6e-7d74158960b7,
Anilios,Anilios ammodytes,Anilios ammodytes,R161352,,Western Australian Museum,-20.933611,119.903611,NA,NA,NA,26ba3d54-18eb-48aa-a9fb-e81a5a0dfcb4,
Anilios,Anilios ammodytes,Anilios ammodytes,R110185,,Western Australian Museum,-21.333333,117.233333,NA,NA,NA,275f1c7e-80ef-4865-8c0c-cd2c861f451a,
Anilios,Anilios ammodytes,Anilios ammodytes,R73150,,Western Australian Museum,-22.766667,119.218889,NA,NA,NA,2a6deac7-8626-4a4f-8cba-9bad6aa32144,
Anilios,Anilios ammodytes,Anilios ammodytes,R146646,,Western Australian Museum,-22.5,119.09,NA,NA,NA,2ba6a099-57aa-4998-b84e-7d91265c1096,
Anilios,Anilios ammodytes,Anilios ammodytes,R161120,,Western Australian Museum,-22.221667,119.024722,NA,NA,NA,2d01a388-d118-4c36-8e58-eb9e46710165,
Anilios,Anilios ammodytes,Anilios ammodytes,R165282,,Western Australian Museum,-20.798611,116.681389,NA,NA,NA,325e0fd6-bb9a-4a0f-9c66-e8424358e169,
Anilios,Anilios ammodytes,Anilios ammodytes,R145594,,Western Australian Museum,-20.91,118.68,NA,NA,NA,36ad3479-c0fd-4306-b67d-cae66863c962,
Anilios,Anilios ammodytes,Anilios ammodytes,R161582,,Western Australian Museum,-20.346389,118.893056,NA,NA,NA,372dff50-91c0-4365-8196-b021ca9d8924,
Anilios,Anilios ammodytes,Anilios ammodytes,R160860,,Western Australian Museum,-20.794444,116.856667,NA,NA,NA,3810329e-2019-469b-a445-dbcad95d8c84,
Anilios,Anilios ammodytes,Anilios ammodytes,R15117,,Western Australian Museum,-20.516667,118.05,NA,NA,NA,3a4df0dc-752a-4ddc-86b4-d2c05a492fff,
Anilios,Anilios ammodytes,Anilios ammodytes,R71623,,Western Australian Museum,-22.666667,119.216667,NA,NA,NA,3ab10589-cb4e-49aa-be90-ac8dda3b149a,
Anilios,Anilios ammodytes,Anilios ammodytes,R102490,,Western Australian Museum,-23.079444,115.790833,NA,NA,NA,3cab5efe-db16-427a-8bf1-cbef7c527a67,
Anilios,Anilios ammodytes,Anilios ammodytes,R161288,,Western Australian Museum,-21.3375,120.769444,NA,NA,NA,3e8f24e7-c8d1-4f06-8e01-7808293f6c28,
Anilios,Anilios ammodytes,Anilios ammodytes,R62369,,Western Australian Museum,-20.466667,119.516667,NA,NA,NA,3f19eb77-0a43-45fb-9b0c-727f5984bc78,
Anilios,Anilios ammodytes,Anilios ammodytes,R110865,,Western Australian Museum,-21.951111,116.465278,NA,NA,NA,40462115-ddcf-4826-9078-5045e32b46dc,
Anilios,Anilios ammodytes,Anilios ammodytes,R170748,,Western Australian Museum,-21.633056,116.491667,NA,NA,NA,40aba8ed-c7bc-4bf2-97a5-e1ab2800a032,
Anilios,Anilios ammodytes,Anilios ammodytes,R161253,,Western Australian Museum,-20.869722,117.858611,NA,NA,NA,4122c60b-2e03-4042-90ea-de2688fc9e5f,
Anilios,Anilios ammodytes,Anilios ammodytes,R70767,,Western Australian Museum,-22.786111,119.263056,NA,NA,NA,42190dae-457e-43fd-a6c8-f44520d9a99e,
Anilios,Anilios ammodytes,Anilios ammodytes,R28039,,Western Australian Museum,-20.783333,115.416667,NA,NA,NA,42d07033-f5fb-48ba-bef3-72869420a773,
Anilios,Anilios ammodytes,Anilios ammodytes,R127760,,Western Australian Museum,-22.808056,117.748889,NA,NA,NA,4376998c-b986-4bc2-b989-67dc6e1c0a5d,
Anilios,Anilios ammodytes,Anilios ammodytes,R37327,,Western Australian Museum,-20.383333,116.866667,NA,NA,NA,43c2e799-a1c4-4d3c-8118-e32f2d288ae1,
Anilios,Anilios ammodytes,Anilios ammodytes,R110319,,Western Australian Museum,-22.660833,119.918611,NA,NA,NA,4569092b-0d3a-49dd-a2bd-119d58feb3b0,
Anilios,Anilios ammodytes,Anilios ammodytes,R170658,,Western Australian Museum,-21.873611,116.5025,NA,NA,NA,45c35b41-60f4-4319-aaa2-4661a817743e,
Anilios,Anilios ammodytes,Anilios ammodytes,R132647,,Western Australian Museum,-20.560278,116.805278,NA,NA,NA,4611ba56-e22c-4b6d-b687-2a79bf0641d4,
Anilios,Anilios ammodytes,Anilios ammodytes,R163915,,Western Australian Museum,-20.390833,119.908611,NA,NA,NA,470659b1-6dce-41b3-af4a-ff08615cd3c4,
Anilios,Anilios ammodytes,Anilios ammodytes,R146682,,Western Australian Museum,-20.61,118.61,NA,NA,NA,47632df2-0ee1-4e77-b8da-24f2e5b052fb,
Anilios,Anilios ammodytes,Anilios ammodytes,R104063,,Western Australian Museum,-21.609444,118.961944,NA,NA,NA,47a2f2ef-6385-405e-84f7-8cc1d5a8da05,
Anilios,Anilios ammodytes,Anilios ammodytes,R157095,,Western Australian Museum,-22.414444,119.006667,NA,NA,NA,48084532-021d-4c36-adae-a3d079a94e5a,
Anilios,Anilios ammodytes,Anilios ammodytes,R110244,,Western Australian Museum,-22.675556,119.840556,NA,NA,NA,4a1d5993-58b5-4c0f-8094-3b36b4bd51b2,
Anilios,Anilios ammodytes,Anilios ammodytes,R102482,,Western Australian Museum,-23.044167,115.8125,NA,NA,NA,4cc52808-507b-4c2e-a962-e61d10a65b89,
Anilios,Anilios ammodytes,Anilios ammodytes,R158220,,Western Australian Museum,-22.409444,119.730556,NA,NA,NA,4eb6bb0e-4f46-40e1-8cad-31be954da5a6,
Anilios,Anilios ammodytes,Anilios ammodytes,R102551,,Western Australian Museum,-23.079444,115.790833,NA,NA,NA,4f7cd8b0-612f-40be-9ca0-350e136f8dea,
Anilios,Anilios ammodytes,Anilios ammodytes,R157042,,Western Australian Museum,-22.395,118.998889,NA,NA,NA,5038138d-8355-42a0-9492-0a20e5dbdda3,
Anilios,Anilios ammodytes,Anilios ammodytes,R161395,,Western Australian Museum,-20.935278,119.858056,NA,NA,NA,50e42301-9cdd-4b36-a75d-f72dedd407e8,
Anilios,Anilios ammodytes,Anilios ammodytes,R163227,,Western Australian Museum,-22.155556,117.835556,NA,NA,NA,50f0c684-7407-409e-b179-f06e41312719,
Anilios,Anilios ammodytes,Anilios ammodytes,R146546,,Western Australian Museum,-21.129722,116.803889,NA,NA,NA,53283f29-dfef-4c0d-9060-75c6f06c02f3,
Anilios,Anilios ammodytes,Anilios ammodytes,R146732,,Western Australian Museum,-21.06,118.75,NA,NA,NA,55054f60-9bb2-45af-a201-adf83a729b4f,
Anilios,Anilios ammodytes,Anilios ammodytes,R163873,,Western Australian Museum,-20.161944,119.366667,NA,NA,NA,560d761f-81b1-4a38-bd16-b470572568d4,
Anilios,Anilios ammodytes,Anilios ammodytes,R163838,,Western Australian Museum,-20.261389,119.419722,NA,NA,NA,5a4ccc6a-cef7-413e-a6a4-847cf342bf92,
Anilios,Anilios ammodytes,Anilios ammodytes,R139407,,Western Australian Museum,-21.216389,120.340556,NA,NA,NA,5b38565b-638c-4f75-ac7c-e98c1343ba3d,
Anilios,Anilios ammodytes,Anilios ammodytes,R164123,,Western Australian Museum,-22.24,119.103056,NA,NA,NA,5baa3b79-93c1-4653-8fc1-8f69d0a638ec,
Anilios,Anilios ammodytes,Anilios ammodytes,R146599,,Western Australian Museum,-22.6,119.24,NA,NA,NA,5bbdbb4f-8b9b-4936-be3a-ed8992b24dc3,
Anilios,Anilios ammodytes,Anilios ammodytes,R161558,,Western Australian Museum,-20.817778,120.536944,NA,NA,NA,5df4c276-ef48-459a-b22f-4fd914a68777,
Anilios,Anilios ammodytes,Anilios ammodytes,R110199,,Western Australian Museum,-21.676944,116.975,NA,NA,NA,5e51eb16-c6a8-4cf2-950d-e9d45d5f7a50,
Anilios,Anilios ammodytes,Anilios ammodytes,R146718,,Western Australian Museum,-20.54,118.64,NA,NA,NA,5e91d468-a476-4a26-a1a4-e9c8878ea8c0,
Anilios,Anilios ammodytes,Anilios ammodytes,R162017,,Western Australian Museum,-22.255278,115.436389,NA,NA,NA,6138056b-21b2-41f8-9ea4-704798d1697f,
Anilios,Anilios ammodytes,Anilios ammodytes,R146644,,Western Australian Museum,-22.39,118.98,NA,NA,NA,6242c1df-d091-4923-a209-5abb9bf56efd,
Anilios,Anilios ammodytes,Anilios ammodytes,R142358,,Western Australian Museum,-21.807778,114.111111,NA,NA,NA,624aab83-7658-48dd-882a-a27fd63e1fdc,
Anilios,Anilios ammodytes,Anilios ammodytes,R111995,,Western Australian Museum,-22.611111,120.728889,NA,NA,NA,62bcfc4e-0ce6-495d-b091-5e4b4d58a101,
Anilios,Anilios ammodytes,Anilios ammodytes,R100453,,Western Australian Museum,-22.328889,122.063889,NA,NA,NA,63269946-cf63-4cf3-9d72-26a35296914e,
